City ID,City Name,Cloudiness,Country,Date of Request,Humidity,Latitude,Longitude,Temperature,Wind Speed
87,Lamin,100,GM,1659650895,84,13.3522,-16.4339,79.2,5.84
88,Saldanha,41,ZA,1659650403,84,-33.0117,17.9442,52.52,7.54
89,Ulladulla,0,AU,1659650895,56,-35.35,150.4667,60.01,8.43
90,Goderich,91,CA,1659650413,81,43.7501,-81.7165,72.91,8.72
91,Albany,40,US,1659650888,61,42.6001,-73.9662,84.36,15.05
92,Ribeira Grande,40,PT,1659650376,94,38.5167,-28.7,75.6,3.44
94,Yellowknife,75,CA,1659650308,48,62.456,-114.3525,64.92,10.36
95,Cherskiy,100,RU,1659650298,82,68.75,161.3,44.33,7.2
97,San Quintín,19,MX,1659650309,73,30.4833,-115.95,75.42,16.64
99,Iqaluit,100,CA,1659650897,97,63.7506,-68.5145,37.89,10.8
100,Mīnāb,2,IR,1659650897,73,27.1467,57.0801,89.13,3.85
101,Kavaratti,100,IN,1659650299,85,10.5669,72.642,78.55,32.12
103,Salalah,99,OM,1659650381,92,17.0151,54.0924,77.63,1.7
104,Litovko,100,RU,1659650898,91,49.2361,135.1742,64.47,7.47
105,Padang,100,ID,1659650429,80,-0.9492,100.3543,76.62,3.94
106,Tasiilaq,100,GL,1659650899,84,65.6145,-37.6368,39.36,2.39
107,Rodolfo Sánchez Taboada,96,MX,1659650899,79,31.7167,-116.5667,73.09,3.0
108,Pacific Grove,0,US,1659650652,80,36.6177,-121.9166,80.24,13.8
110,Maragogi,2,BR,1659650447,80,-9.0122,-35.2225,74.62,9.98
111,Souillac,40,MU,1659650438,68,-20.5167,57.5167,70.18,16.11
112,Coquimbo,0,CL,1659650900,67,-29.9533,-71.3436,58.73,9.22
114,Dikson,100,RU,1659650306,100,73.5069,80.5464,44.53,12.37
115,Sinnamary,23,GF,1659650900,79,5.3833,-52.95,79.92,10.56
116,São João da Barra,62,BR,1659650355,83,-21.6403,-41.0511,75.29,18.72
117,George Town,20,MY,1659650261,94,5.4112,100.3354,80.53,3.44
118,Kabul,71,AF,1659650704,50,34.5,69.4167,72.93,1.86
119,Tual,100,ID,1659650901,84,-5.6667,132.75,79.83,6.73
120,Żurrieq,0,MT,1659650902,74,35.8311,14.4742,80.96,1.14
121,Christchurch,87,NZ,1659650705,44,-43.5333,172.6333,56.48,11.5
122,Sur,97,OM,1659650902,69,22.5667,59.5289,84.76,10.45
123,Mayumba,37,GA,1659650902,92,-3.432,10.6554,68.41,7.2
124,Saint Paul Harbor,100,US,1659650658,72,57.79,-152.4072,62.11,3.44
125,Hervey Bay,66,AU,1659650903,93,-25.2986,152.8535,67.01,4.0
126,Young,100,UY,1659650903,77,-32.6833,-57.6333,49.69,7.11
127,Baykit,100,RU,1659650368,95,61.67,96.37,43.81,3.2
128,Port Elizabeth,0,ZA,1659650325,92,-33.918,25.5701,53.31,5.75
129,Chapais,47,CA,1659650904,37,49.7834,-74.8492,68.29,7.45
130,East London,100,ZA,1659650327,71,-33.0153,27.9116,64.31,3.24
131,Usakos,2,NA,1659650904,19,-22.0,15.6,59.07,4.12
132,Conde,0,BR,1659650905,94,-7.2597,-34.9075,74.66,12.66
133,Avarua,40,CK,1659650328,73,-21.2078,-159.775,77.05,18.41
135,Hobart,0,AU,1659650716,89,-42.8794,147.3294,46.26,5.75
136,Yar-Sale,10,RU,1659650384,88,66.8333,70.8333,55.58,6.46
137,Dingle,100,PH,1659650906,91,10.9995,122.6711,76.03,0.98
138,Correntina,31,BR,1659650906,33,-13.3433,-44.6367,80.24,4.47
139,Castro,69,BR,1659650319,55,-24.7911,-50.0119,65.3,4.45
140,Aberdeen,60,GB,1659650850,87,57.1437,-2.0981,52.48,2.3
141,Intipucá,99,SV,1659650907,56,13.1969,-88.0544,84.61,3.27
142,Pitimbu,3,BR,1659650907,79,-7.4706,-34.8086,75.79,11.1
143,Quetta,10,PK,1659650907,61,30.199,67.0097,75.4,4.76
144,Chokurdakh,100,RU,1659650323,66,70.6333,147.9167,46.45,13.11
145,Warrnambool,93,AU,1659650725,88,-38.3833,142.4833,49.19,15.48
146,Lorengau,100,PG,1659650908,79,-2.0226,147.2712,82.49,9.8
147,Clyde River,75,CA,1659650352,87,70.4692,-68.5914,44.83,14.97
148,Valtice,0,CZ,1659650908,41,48.7407,16.755,74.68,2.62
149,Marga,0,RO,1659650909,52,45.5,22.5167,65.86,4.47
150,Dudinka,96,RU,1659650380,76,69.4058,86.1778,61.63,8.05
151,Longyearbyen,100,SJ,1659650909,96,78.2186,15.6401,46.47,0.43
152,Joshīmath,99,IN,1659650910,97,30.5667,79.5667,70.16,0.98
153,Atar,4,MR,1659650910,29,20.5169,-13.0499,94.33,11.52
154,Taos,75,US,1659650910,63,36.4072,-105.5731,72.0,18.41
155,Bethel,21,US,1659650311,59,41.3712,-73.414,94.77,10.92
156,Malaṅgawā,80,NP,1659650911,89,26.8568,85.5581,79.72,5.95
157,Cape Town,88,ZA,1659650662,88,-33.9258,18.4232,54.91,5.01
159,Lüderitz,0,NA,1659650431,79,-26.6481,15.1594,55.99,12.75
160,Qaqortoq,92,GL,1659650912,82,60.7167,-46.0333,48.25,3.33
161,Alamosa,0,US,1659650912,53,37.4695,-105.87,73.38,6.91
162,Águilas,0,ES,1659650912,61,37.4063,-1.5829,81.72,5.97
163,Cabo San Lucas,3,MX,1659650378,69,22.8909,-109.9124,93.61,1.99
164,Aromashevo,55,RU,1659650913,83,56.8602,68.6375,57.81,3.09
165,Bilibino,100,RU,1659650359,80,68.0546,166.4372,48.13,6.55
166,Huilong,2,CN,1659650913,84,31.8111,121.655,84.92,11.39
167,Severo-Kuril'sk,74,RU,1659650914,82,50.6789,156.125,55.44,10.47
168,Laas,51,IT,1659650914,84,46.6166,10.7002,70.36,2.33
169,Pangai,100,TO,1659650914,78,-19.8,-174.35,77.0,19.73
170,Jamestown,75,US,1659650655,52,42.097,-79.2353,83.01,8.05
171,Khatanga,90,RU,1659650915,74,71.9667,102.5,54.14,5.01
172,Cidreira,38,BR,1659650915,78,-30.1811,-50.2056,68.81,14.14
173,Strezhevoy,76,RU,1659650916,70,60.7333,77.5889,58.15,5.55
174,Chuzhou,7,CN,1659650713,77,32.3219,118.2978,84.47,3.11
175,Adrar,1,MR,1659650916,28,20.5022,-10.0711,95.47,19.15
177,Praia,61,CV,1659650917,80,14.9215,-23.5087,77.68,8.21
178,Norman Wells,70,CA,1659650443,33,65.282,-126.8329,76.06,2.01
179,Te Horo,99,NZ,1659650917,86,-40.8084,175.1233,53.8,3.0
180,Mabasa,100,PH,1659650917,99,16.321,121.1262,72.16,1.72
181,Kamloops,75,CA,1659650738,81,50.6665,-120.3192,60.75,8.05
182,Vrangel',100,RU,1659650918,97,42.7297,133.0839,71.96,4.54
183,Vilyuysk,100,RU,1659650918,59,63.7553,121.6247,55.92,8.66
184,Hasaki,100,JP,1659650919,90,35.7333,140.8333,73.8,15.7
185,Santa Isabel Rio Negro,72,BR,1659650919,89,-0.4139,-65.0192,77.97,2.26
186,Monrovia,100,LR,1659650919,81,6.3005,-10.7969,74.97,11.59
187,Loíza,40,PR,1659650920,88,18.4313,-65.8802,84.18,16.11
188,Dongning,100,CN,1659650920,92,44.0622,131.1207,73.54,3.09
190,São Filipe,91,CV,1659650921,81,14.8961,-24.4956,77.05,7.25
191,Adeje,0,ES,1659650921,73,28.1227,-16.726,72.88,14.97
192,Atuona,25,PF,1659650726,75,-9.8,-139.0333,77.2,19.1
193,Zhigansk,100,RU,1659650393,59,66.7697,123.3711,49.19,21.92
194,Acapulco de Juárez,0,MX,1659650897,70,16.8634,-99.8901,87.62,5.75
195,Katsuura,100,JP,1659650922,91,35.1333,140.3,74.75,16.24
196,Baharly,2,TM,1659650922,22,38.4362,57.4316,88.12,4.34
197,Pundaguitan,100,PH,1659650922,77,6.3711,126.1689,81.43,5.53
198,Say,72,NE,1659650923,89,13.1007,2.3689,75.61,7.81
199,Tsalka,2,GE,1659650923,83,41.5946,44.0891,60.94,2.98
200,Dolores,75,AR,1659650923,71,-36.3132,-57.6792,46.35,4.32
201,Mahibadhoo,100,MV,1659650924,80,3.7833,72.9667,80.4,20.36
202,Touros,14,BR,1659650217,80,-5.1989,-35.4608,75.97,11.56
203,Kérouané,100,GN,1659650924,97,9.2667,-9.0167,69.35,3.6
205,Charleville-Mézières,57,FR,1659650925,89,49.7667,4.7167,69.78,8.19
207,Port-Cartier,100,CA,1659650925,92,50.0334,-66.8654,64.62,5.53
208,Yangi Marg`ilon,0,UZ,1659650926,35,40.4272,71.7189,75.81,1.92
209,Roald,75,NO,1659650378,87,62.5833,6.1333,56.16,5.75
210,Buala,55,SB,1659650926,68,-8.145,159.5921,83.16,8.7
211,Kununurra,72,AU,1659650926,94,-15.7667,128.7333,62.58,2.3
212,Mahébourg,40,MU,1659650426,68,-20.4081,57.7,70.09,16.11
214,Taihe,24,CN,1659650927,82,30.8712,105.3845,78.8,1.83
215,Nago,81,JP,1659650927,82,26.5881,127.9761,81.45,1.86
216,Máncora,70,PE,1659650928,69,-4.1078,-81.0475,71.92,11.34
217,The Valley,40,AI,1659650928,70,18.217,-63.0578,84.34,14.97
218,Santa Maria,91,BR,1659650717,92,-29.6842,-53.8069,54.79,11.07
219,Carbonia,0,IT,1659650929,57,39.1672,8.5222,81.01,4.27
